,flips,time,size
403,41.0,50.49144842330305,32.0
404,59.0,55.18495382944052,32.0
405,40.0,48.30373095112979,32.0
406,69.0,65.81584158415842,32.0
407,52.0,56.642458100558656,32.0
408,52.0,57.20722543352601,32.0
409,81.0,68.28259130898427,32.0
410,56.0,48.279787969578244,32.0
411,46.0,58.68812822602553,32.0
412,46.0,52.43341404358353,32.0
413,36.0,51.490647872052044,32.0
414,105.0,77.43755358673907,32.0
415,58.0,61.48121347063735,32.0
416,53.0,53.495802132970276,32.0
417,71.0,68.12738679759957,32.0
418,41.0,51.49083447332421,32.0
419,52.0,61.69052390495276,32.0
420,35.0,51.09970278303161,32.0
421,59.0,50.54653051752147,32.0
422,38.0,44.06173662003109,32.0
423,46.0,53.10537692515536,32.0
424,67.0,53.486587183308494,32.0
425,51.0,56.0423750980905,32.0
426,80.0,62.58328811720022,32.0
427,44.0,59.625319330116376,32.0
428,92.0,65.4046875,32.0
429,28.0,49.62264150943396,32.0
430,41.0,53.25058977719528,32.0
431,26.0,51.75097601784719,32.0
432,42.0,55.65345162184641,32.0
433,73.0,63.60313100796485,32.0
434,55.0,63.37603993344426,32.0
435,53.0,54.712876712328764,32.0
436,60.0,52.25029543843063,32.0
437,61.0,57.42781597038604,32.0
438,100.0,71.58226815338591,32.0
439,50.0,53.6071995764955,32.0
440,29.0,54.13002232142857,32.0
441,44.0,55.30981515230409,32.0
442,48.0,57.34517766497462,32.0
443,66.0,55.173022049286644,32.0
444,64.0,66.329517579722,32.0
445,32.0,43.40821142048136,32.0
446,38.0,53.105511811023625,32.0
447,75.0,72.7357259380098,32.0
448,73.0,63.8260749724366,32.0
449,59.0,60.89915277398196,32.0
450,54.0,54.3625304136253,32.0
451,29.0,48.523210070810386,32.0
452,49.0,58.34841525034451,32.0
453,72.0,52.5525462962963,32.0
454,40.0,53.81501197764174,32.0
455,46.0,51.759010786635095,32.0
456,67.0,62.552023906547134,32.0
457,82.0,65.03197831978319,32.0
458,44.0,55.48703805846663,32.0
459,37.0,52.165935271530444,32.0
460,96.0,79.45658342792281,32.0
461,58.0,61.31569664902998,32.0
462,44.0,50.93553500660502,32.0
463,35.0,50.36465264838967,32.0
464,40.0,52.13311331133113,32.0
465,56.0,56.871539908626715,32.0
466,52.0,55.68457818377217,32.0
467,89.0,57.46617050067659,32.0
468,78.0,73.36322024771137,32.0
469,85.0,67.04218958611482,32.0
470,71.0,58.73521505376344,32.0
471,48.0,54.77821338560627,32.0
472,71.0,64.93799944888399,32.0
473,55.0,50.49610205527994,32.0
